XXX-XX-2908    John Gray                      24FEB1970 GR23 $8,252.82  Engineering Manager
XXX-XX-2216    Jessica Jordan                 14FEB1986 GR20 $5,616.99  Business Analyst
XXX-XX-8828    Monica Bell                    10APR1980 GR20 $4,984.55  Java Engineer
XXX-XX-5401    Benjamin Graham                23APR1978 GR26 $10,866.31 Marketing Director
XXX-XX-9909    Paul Gonzalez                  23JAN1990 GR24 $7,084.24  Marketing Manager
XXX-XX-7446    Kelly Collins                  23MAR1970 GR22 $5,041.77  Systems Engineer II
XXX-XX-4080    Maria Hamilton                 24MAY1989 GR22 $5,926.95  Software Engineer
XXX-XX-3355    Adam Bennett                   17AUG1991 GR22 $6,145.22  Accountant
XXX-XX-4740    Elizabeth Morgan               20FEB1963 GR22 $5,673.21  Software Engineer
XXX-XX-2176    Douglas Hayes                  23DEC1986 GR22 $5,762.13  Software Engineer
XXX-XX-1083    Mark Kelly                     17JAN1978 GR20 $4,410.89  Systems Engineer I
XXX-XX-1863    Dennis Edwards                 04JUL1987 GR20 $5,508.78  Systems Engineer I
XXX-XX-4790    Richard Wilson                 16JUL1991 GR20 $5,789.46  Systems Engineer I
XXX-XX-5105    Lori Grant                     20AUG1968 GR20 $5,299.02  Human Resources Technician
XXX-XX-7989    Melanie Tucker                 15JAN1966 GR24 $8,679.99  Marketing Manager
XXX-XX-7840    Donna Gomez                    11NOV1967 GR21 $4,591.09  Lead Java Engineer
XXX-XX-0131    Anthony James                  07FEB1963 GR22 $6,229.65  Systems Engineer II
XXX-XX-4361    Jonathan Johnson               20FEB1983 GR20 $5,162.43  Systems Engineer I
XXX-XX-4131    Aaron Kelly                    27AUG1986 GR20 $4,227.21  Java Engineer
XXX-XX-2081    Matthew Morgan                 11SEP1986 GR20 $5,479.32  Systems Engineer I
XXX-XX-5111    David Murphy                   21MAY1969 GR23 $7,951.31  Business Account Executive
XXX-XX-3209    Shawn Tucker                   05JUN1986 GR20 $4,715.87  Business Analyst
XXX-XX-4436    Jeremy Phillips                01FEB1977 GR21 $5,555.89  Lead Java Engineer
XXX-XX-3112    Justin Ford                    04JAN1987 GR20 $5,652.61  Systems Engineer I
XXX-XX-6529    Jason Owens                    10MAY1960 GR24 $9,600.25  Marketing Manager
XXX-XX-2773    Amanda White                   02AUG1987 GR20 $5,739.38  Business Analyst
XXX-XX-8301    Julie Butler                   30JAN1972 GR23 $8,160.68  Engineering Manager
XXX-XX-4292    Charles Webb                   11OCT1990 GR24 $9,236.13  Marketing Manager
XXX-XX-2160    Patrick Ortiz                  11NOV1992 GR22 $5,577.47  Software Engineer
XXX-XX-0471    Travis Miller                  20MAY1981 GR20 $4,867.60  Java Engineer
XXX-XX-1486    Keith Evans                    08JAN1977 GR25 $11,570.20 Senior Accountant
XXX-XX-5063    Jose Hudson                    09NOV1984 GR21 $5,321.00  Lead Java Engineer
XXX-XX-5912    Craig Hall                     01APR1981 GR20 $4,809.65  Human Resources Technician
XXX-XX-7069    Jonathan Martinez              10DEC1959 GR20 $4,931.65  Business Analyst
XXX-XX-0446    Thomas Jones                   12NOV1979 GR22 $5,180.31  Systems Engineer II
XXX-XX-2784    Thomas Myers                   07JAN1984 GR23 $7,810.67  Engineering Manager
XXX-XX-2400    Keith Reyes                    24NOV1988 GR22 $5,486.17  Software Engineer
XXX-XX-4179    Gregory Sanchez                20APR1992 GR24 $7,417.50  Marketing Manager
XXX-XX-9670    Lori Dixon                     18JUL1979 GR20 $5,088.28  Business Analyst
XXX-XX-9854    Robin Bryant                   01JUL1977 GR20 $5,040.99  Java Engineer
XXX-XX-9879    Shannon Williams               15DEC1963 GR22 $5,305.01  Systems Engineer II
XXX-XX-5422    John Shaw                      25NOV1970 GR21 $6,009.13  Systems Engineer II
XXX-XX-2608    Amy Richardson                 30JUL1976 GR23 $6,906.46  Engineering Manager
XXX-XX-1105    Craig Alexander                18APR1981 GR20 $4,306.56  Systems Engineer I
XXX-XX-5255    Todd Roberts                   04NOV1962 GR20 $5,515.76  Systems Engineer I
XXX-XX-2129    Stephanie Rice                 22JAN1975 GR22 $5,050.40  Software Engineer
XXX-XX-2575    Donald Graham                  07MAR1959 GR26 $15,081.73 Human Resources Director
XXX-XX-4062    Larry Ward                     29JUL1992 GR22 $5,927.76  Accountant
XXX-XX-9760    Amy Diaz                       21MAR1974 GR20 $5,174.86  Business Analyst
XXX-XX-0903    Benjamin Spencer               15JUL1969 GR20 $5,464.99  Java Engineer
XXX-XX-7700    Sean Russell                   02MAY1987 GR22 $6,478.30  Systems Engineer II
